timestamp,game_num,winner,score_diff,total_moves,loss
2025-09-03 10:27:42,127,W,-19.5,472,6.6569
2025-09-03 10:34:05,128,W,-46.5,584,6.7031
2025-09-03 10:41:41,129,W,-6.5,672,6.6575
2025-09-03 10:49:20,130,W,-28.5,679,6.7196
2025-09-03 10:54:25,131,W,-33.5,476,6.6915
2025-09-03 10:58:46,132,W,-13.5,426,6.7129
2025-09-03 11:05:36,133,B,34.5,605,6.7497
2025-09-03 11:10:59,134,W,-66.5,507,6.6216
2025-09-03 11:16:24,135,W,-80.5,522,6.7171
2025-09-03 11:21:26,136,W,-62.5,481,6.8146
2025-09-03 11:26:57,137,B,20.5,527,6.7545
2025-09-03 11:32:07,138,W,-57.5,490,6.7157
2025-09-03 11:37:29,139,B,23.5,501,6.6415
2025-09-03 11:44:07,140,W,-24.5,604,6.7009
2025-09-03 12:23:14,141,W,-98.5,687,6.7262
2025-09-03 12:29:07,142,W,-31.5,543,6.6791
2025-09-03 12:34:24,143,W,-27.5,501,6.7221
2025-09-03 12:39:48,144,B,23.5,519,6.6710
2025-09-03 12:44:50,145,W,-35.5,495,6.7397
2025-09-03 12:50:16,146,B,27.5,532,6.6962
2025-09-03 12:55:42,147,W,-63.5,504,6.6781
2025-09-03 13:04:06,148,W,-14.5,741,6.7218
2025-09-03 13:12:32,149,B,0.5,717,6.7549
2025-09-03 13:17:47,150,B,8.5,512,6.6429
2025-09-03 13:24:18,151,W,-57.5,590,6.6986
2025-09-03 13:29:57,152,B,26.5,535,6.7284
2025-09-03 13:35:27,153,W,-21.5,516,6.7218
2025-09-03 13:43:05,154,W,-35.5,684,6.7337
2025-09-03 13:47:26,155,W,-33.5,428,6.6654
2025-09-03 13:53:59,156,W,-45.5,586,6.7375
2025-09-03 14:03:14,157,B,11.5,782,6.7593
2025-09-03 14:08:50,158,W,-60.5,520,6.7807
2025-09-03 14:14:12,159,B,74.5,502,6.7934
2025-09-03 14:19:54,160,W,-108.5,535,6.7011
2025-09-03 15:06:39,1,W,-361.5,402,6.7234
2025-09-03 15:10:38,2,W,-361.5,402,6.7526
2025-09-03 15:14:32,3,W,-361.5,402,6.8089
2025-09-03 15:18:30,4,W,-361.5,402,6.6878
2025-09-03 15:22:23,5,W,-361.5,402,6.7994
2025-09-03 15:26:23,6,W,-361.5,402,6.7000
2025-09-03 15:30:18,7,W,-361.5,402,6.6028
2025-09-03 15:34:06,8,W,-361.5,402,6.7888
2025-09-03 15:37:59,9,W,-361.5,402,6.7806
2025-09-03 15:41:48,10,W,-361.5,402,6.7091
2025-09-03 15:45:41,11,W,-361.5,402,6.7357
2025-09-03 15:49:28,12,W,-361.5,402,6.6927
2025-09-03 15:53:13,13,W,-361.5,402,6.7983
2025-09-03 15:57:09,14,W,-361.5,402,6.7181
2025-09-03 16:01:08,15,W,-361.5,402,6.7273
2025-09-03 16:05:05,16,W,-361.5,402,6.8108
2025-09-03 16:08:51,17,W,-361.5,402,6.7301
2025-09-03 16:12:36,18,W,-361.5,402,6.7306
2025-09-03 16:16:25,19,W,-361.5,402,6.8197
2025-09-03 16:20:16,20,W,-361.5,402,6.7973
2025-09-03 16:24:12,21,W,-361.5,402,6.7626
2025-09-03 16:38:09,1,W,-366.5,366,6.8048
2025-09-03 16:41:34,2,W,-366.5,366,6.8207
2025-09-03 16:45:05,3,W,-366.5,366,6.7570
2025-09-03 16:48:37,4,W,-366.5,366,6.7654
2025-09-03 16:52:09,5,W,-366.5,366,6.8567
2025-09-03 16:55:47,6,W,-366.5,366,6.8376
2025-09-03 16:59:18,7,W,-366.5,366,6.7825
2025-09-03 17:02:53,8,W,-366.5,366,6.7763
2025-09-03 17:06:28,9,W,-366.5,366,6.8244
2025-09-03 17:10:05,10,W,-366.5,366,6.7494
2025-09-03 17:13:42,11,W,-366.5,366,6.8036
2025-09-03 17:17:14,12,W,-366.5,366,6.8035
2025-09-03 17:20:50,13,W,-366.5,366,6.8421
2025-09-03 17:24:21,14,W,-366.5,366,6.8290
2025-09-03 17:27:48,15,W,-366.5,366,6.8781
2025-09-03 17:31:13,16,W,-366.5,366,6.8002
2025-09-03 17:34:39,17,W,-366.5,366,6.8674
2025-09-03 17:38:12,18,W,-366.5,366,6.7792
2025-09-03 17:41:40,19,W,-366.5,366,6.7969
2025-09-03 17:45:04,20,W,-366.5,366,6.8309
2025-09-03 17:56:53,1,W,-97.5,525,6.7833
2025-09-03 18:05:50,2,B,117.5,731,6.8706
2025-09-03 18:12:34,3,W,-126.5,614,6.9398
2025-09-03 18:23:34,4,W,-58.5,849,6.9065
2025-09-03 18:46:14,5,W,-99.5,1492,6.8549
2025-09-03 18:59:52,6,W,-75.5,1072,6.7788
2025-09-03 19:04:49,7,B,20.5,481,6.8588
2025-09-03 19:15:04,8,W,-20.5,852,6.8673
2025-09-03 19:21:14,9,B,35.5,547,6.8174
